time,detectable sentinels STD
0.0,0.0
1.0,0.0
2.0,0.0
3.0,0.0
4.0,0.0
5.0,0.0
6.0,0.0
7.0,0.0
8.0,0.0
9.0,0.0
10.0,0.0
11.0,0.0
12.0,0.0
13.0,0.0
14.0,0.0
15.0,0.0
16.0,0.0
17.0,0.0
18.0,0.0
19.0,0.0
20.0,0.0
21.0,0.0
22.0,0.0
23.0,0.0
24.0,0.0
25.0,0.0
26.0,0.0
27.0,0.09949874371066196
28.0,0.09949874371066196
29.0,0.09949874371066196
30.0,0.09949874371066196
31.0,0.09949874371066196
32.0,0.09949874371066196
33.0,0.09949874371066196
34.0,0.09949874371066196
35.0,0.09949874371066196
36.0,0.09949874371066196
37.0,0.09949874371066196
38.0,0.09949874371066196
39.0,0.09949874371066196
40.0,0.09949874371066196
41.0,0.09949874371066196
42.0,0.09949874371066196
43.0,0.09949874371066196
44.0,0.09949874371066196
45.0,0.09949874371066196
46.0,0.09949874371066196
47.0,0.09949874371066196
48.0,0.09949874371066196
49.0,0.09949874371066196
50.0,0.09949874371066196
51.0,0.09949874371066196
52.0,0.09949874371066196
53.0,0.09949874371066196
54.0,0.09949874371066196
55.0,0.09949874371066196
56.0,0.09949874371066196
57.0,0.09949874371066196
58.0,0.09949874371066196
59.0,0.09949874371066196
60.0,0.09949874371066196
61.0,0.09949874371066196
62.0,0.09949874371066196
63.0,0.09949874371066196
64.0,0.13999999999999993
65.0,0.13999999999999993
66.0,0.13999999999999993
67.0,0.13999999999999993
68.0,0.13999999999999993
69.0,0.13999999999999993
70.0,0.13999999999999993
71.0,0.13999999999999993
72.0,0.13999999999999993
73.0,0.13999999999999993
74.0,0.13999999999999993
75.0,0.17058722109231972
76.0,0.17058722109231972
77.0,0.17058722109231972
78.0,0.17058722109231972
79.0,0.17058722109231972
80.0,0.17058722109231972
81.0,0.17058722109231972
82.0,0.17058722109231972
83.0,0.17058722109231972
84.0,0.17058722109231972
85.0,0.17058722109231972
86.0,0.17058722109231972
87.0,0.17058722109231972
88.0,0.17058722109231972
89.0,0.17058722109231972
90.0,0.17058722109231972
91.0,0.17058722109231972
92.0,0.17058722109231972
93.0,0.17058722109231972
94.0,0.17058722109231972
95.0,0.17058722109231972
96.0,0.2179449471770336
97.0,0.2179449471770336
98.0,0.2179449471770336
99.0,0.2179449471770336
100.0,0.2179449471770336
101.0,0.27640549922170476
102.0,0.2917190429162964
103.0,0.2917190429162964
104.0,0.2917190429162964
105.0,0.2917190429162964
106.0,0.30594117081556715
107.0,0.30594117081556715
108.0,0.30594117081556715
109.0,0.30594117081556715
110.0,0.31921779399024736
111.0,0.31921779399024736
112.0,0.36055512754639885
113.0,0.36055512754639885
114.0,0.36055512754639885
115.0,0.36055512754639885
116.0,0.36055512754639885
117.0,0.36055512754639885
118.0,0.36055512754639885
119.0,0.36055512754639885
120.0,0.36055512754639885
121.0,0.36055512754639885
122.0,0.36055512754639885
123.0,0.4069397989875162
124.0,0.4069397989875162
125.0,0.4069397989875162
126.0,0.4069397989875162
127.0,0.4160528812542943
128.0,0.4160528812542943
129.0,0.4160528812542943
130.0,0.4160528812542943
131.0,0.4160528812542943
132.0,0.4160528812542943
133.0,0.4160528812542943
134.0,0.4160528812542943
135.0,0.4160528812542943
136.0,0.4160528812542943
137.0,0.4160528812542943
138.0,0.4160528812542943
139.0,0.4160528812542943
140.0,0.4160528812542943
141.0,0.4160528812542943
142.0,0.4160528812542943
143.0,0.4247352116319062
144.0,0.4247352116319062
145.0,0.4247352116319062
146.0,0.4247352116319062
147.0,0.4247352116319062
148.0,0.4247352116319062
149.0,0.4409081537009724
150.0,0.47021271782035
151.0,0.47021271782035
152.0,0.47021271782035
153.0,0.47021271782035
154.0,0.47021271782035
