time,state1Mean,state1STD
0.0099,98,2,0
0.0099,98,2,0
0.0099,98,2,0
0.0099,98,2,0
0.0099,98,2,0
0.0099,98,2,0
0.0099,98,2,0
0.0099,98,2,0
0.0099,98,2,0
0.0099,98,2,0
0.0099,98,2,0
0.0099,98,2,0
0.0099,98,2,0
0.0099,98,2,0
0.0099,98,2,0
0.0099,98,2,0
0.0099,98,2,0
0.0099,98,2,0
0.0099,98,2,0
0.0099,98,2,0
0.0099,98,2,0
0.0099,98,2,0
0.0099,98,2,0
0.0099,98,2,0
0.0099,98,2,0
0.0099,98,2,0
0.0099,98,2,0
0.0099,98,2,0
0.0099,98,2,0
0.0099,98,2,0
0.0099,98,2,0
0.0099,98,2,0
0.0099,98,2,0
0.0099,98,2,0
0.0099,98,2,0
0.0099,98,2,0
0.0099,98,2,0
0.0099,98,2,0
0.0099,98,2,0
0.0099,98,2,0
0.0099,98,2,0
0.0099,98,2,0
0.0099,98,2,0
0.0099,98,2,0
0.0099,98,2,0
0.0099,98,2,0
0.0099,98,2,0
0.0099,98,2,0
