Time,Susceptible,Exposed,Infected,Recovered
0,99,0,1,0
0.005,99,0,1,0
0.01,99,0,1,0
0.015,99,0,1,0
0.02,99,0,1,0
0.025,99,0,1,0
0.03,99,0,1,0
0.035,99,0,1,0
0.04,99,0,1,0
0.045,99,0,1,0
0.05,99,0,1,0
0.055,99,0,1,0
0.06,99,0,1,0
0.065,99,0,1,0
0.07,99,0,1,0
0.075,99,0,1,0
0.08,99,0,1,0
0.085,99,0,1,0
0.09,99,0,1,0
0.095,99,0,1,0
0.1,99,0,1,0
0.105,99,0,1,0
0.11,99,0,1,0
0.115,99,0,1,0
0.12,99,0,1,0
0.125,99,0,1,0
0.13,99,0,1,0
0.135,98,1,1,0
0.14,97,2,1,0
0.145,97,2,1,0
0.15,97,2,1,0
0.155,97,2,1,0
0.16,97,2,1,0
0.165,97,2,1,0
0.17,97,2,1,0
0.175,97,2,1,0
0.18,97,2,1,0
0.185,97,2,1,0
0.19,97,2,1,0
0.195,97,2,1,0
0.2,97,2,1,0
0.205,97,2,1,0
0.21,97,2,1,0
0.215,97,2,1,0
0.22,97,2,1,0
0.225,97,2,1,0
0.23,97,2,1,0
0.235,97,2,1,0
0.24,97,2,1,0
0.245,97,2,1,0
0.25,97,2,1,0
0.255,97,2,1,0
0.26,97,2,1,0
0.265,97,2,1,0
0.27,97,2,1,0
0.275,97,2,1,0
0.28,97,2,1,0
0.285,97,2,1,0
0.29,97,2,1,0
0.295,97,2,1,0
0.3,97,2,1,0
0.305,97,2,1,0
0.31,97,2,1,0
0.315,97,2,1,0
0.32,97,2,1,0
0.325,97,2,1,0
0.33,97,2,1,0
0.335,97,2,1,0
0.34,97,1,2,0
0.345,97,1,2,0
0.35,97,1,2,0
0.355,96,2,2,0
0.36,96,2,2,0
0.365,96,2,2,0
0.37,96,2,2,0
0.375,96,2,2,0
0.38,96,2,2,0
0.385,96,2,2,0
0.39,96,2,2,0
0.395,96,2,2,0
0.4,96,2,2,0
0.405,96,2,2,0
0.41,96,2,2,0
0.415,96,2,2,0
0.42,96,2,2,0
0.425,96,2,2,0
0.43,95,3,2,0
0.435,95,3,2,0
0.44,95,3,2,0
0.445,95,3,2,0
0.45,95,3,2,0
0.455,94,4,2,0
0.46,94,4,2,0
0.465,94,4,2,0
0.47,94,4,2,0
0.475,94,4,2,0
0.48,94,4,2,0
0.485,93,5,2,0
0.49,93,5,2,0
0.495,93,5,2,0
0.5,93,5,2,0
0.505,93,5,2,0
0.51,93,5,2,0
